,latitude,longitude,distances,bearings,altitude,gradient
703,-25.764442554169797,27.80830004896241,140600.0,312.8982230729345,1170,-0.015
704,-25.763219031388143,27.806837974449127,140800.0,316.23986294770083,1164,-0.03
705,-25.76192019095992,27.80545690336762,141000.0,320.6382175138855,1164,0.0
706,-25.760529631907698,27.804190372383548,141200.0,325.25003785831746,1164,0.0
707,-25.7590524521444,27.80305255549957,141400.0,328.2146947213114,1174,0.05
708,-25.757523878565063,27.80200084834773,141600.0,331.9855999759834,1177,0.015
709,-25.755936482866016,27.801063147284285,141800.0,336.15505862349227,1182,0.025
710,-25.754292050340805,27.8002561647586,142000.0,338.9919321271396,1188,0.03
711,-25.752613470741945,27.799540463287446,142200.0,343.1516286277678,1193,0.025
712,-25.750892087526143,27.798961683496803,142400.0,344.592385311992,1200,0.035
713,-25.749158087419936,27.798431131225502,142600.0,344.59217109999196,1204,0.02
714,-25.747424087313732,27.797900578954202,142800.0,344.281875721547,1212,0.04
715,-25.74569277227893,27.79735963890557,143000.0,343.50289143791804,1219,0.035
716,-25.743968400706105,27.796792677406955,143200.0,343.7469323179911,1237,0.09
717,-25.742241639447933,27.796233808618002,143400.0,346.0050099896126,1242,0.025
718,-25.74049684321567,27.795751039235036,143600.0,349.0272453501404,1255,0.065
719,-25.738731400459578,27.795371041149394,143800.0,351.36025759700664,1265,0.05
720,-25.73695316776905,27.795071091094105,144000.0,355.1751853797906,1294,0.145
721,-25.735162716392093,27.794903320742698,144200.0,0.38677757355549147,1320,0.13
722,-25.733364437769698,27.79491679677732,144400.0,0.5308944628397967,1301,-0.095
723,-25.73156592907911,27.79493529644172,144600.0,359.50499395657226,1265,-0.18
724,-25.729767572344382,27.794918049135763,144800.0,354.35046996420607,1238,-0.135
725,-25.727980024445028,27.794721759103425,145000.0,348.3514162008241,1229,-0.045
726,-25.726219288515566,27.794318837659002,145200.0,343.5044327912814,1218,-0.055
727,-25.724496266826367,27.79375246874978,145400.0,336.28304981209635,1212,-0.03
728,-25.722850264397174,27.792949803383998,145600.0,330.02172228501627,1206,-0.03
729,-25.721292652056647,27.79195248627076,145800.0,325.3219032423204,1200,-0.03
730,-25.719813699697614,27.79081672734638,146000.0,319.7044471049473,1198,-0.01
731,-25.718443441134536,27.78952709706922,146200.0,313.6926559017211,1195,-0.015
732,-25.717201246384967,27.788083938876646,146400.0,308.1199018733166,1191,-0.02
733,-25.716091603856807,27.78651431924791,146600.0,302.06610635775854,1190,-0.005
734,-25.71513734851097,27.784823684114134,146800.0,296.38253341930454,1189,-0.005
735,-25.714338785635235,27.783036823969073,147000.0,290.8465552911392,1188,-0.005
736,-25.713698827223634,27.7811715562778,147200.0,286.252976941898,1188,0.0
737,-25.713195625319813,27.77925582423323,147400.0,285.7625448041148,1187,-0.005
738,-25.712707062446576,27.777334786689057,147600.0,286.81699128654463,1187,0.0
739,-25.712186674892646,27.775423855343476,147800.0,286.80621177686055,1184,-0.015
740,-25.711666609506022,27.773512817249717,148000.0,286.3575667484274,1179,-0.025
741,-25.711160356288886,27.771598513437336,148200.0,285.4562957288856,1175,-0.02
742,-25.710681000399383,27.769674432158634,148400.0,285.4562364481026,1178,0.015
743,-25.71020164450988,27.767750350879933,148600.0,286.2390903236694,1180,0.01
744,-25.70969870847152,27.765833958826864,148800.0,286.8286296181242,1182,0.01
745,-25.70917797873233,27.763923220777937,149000.0,286.5450618136309,1187,0.025
746,-25.708665769438515,27.762009630429837,149200.0,285.76374987183283,1186,-0.005
747,-25.708177122892394,27.76008849156958,149400.0,286.8213423148456,1188,0.01
748,-25.70765663928196,27.758177804159864,149600.0,287.90014503924897,1188,0.0
749,-25.70710414038304,27.7562793884842,149800.0,293.44563979658597,1185,-0.015
750,-25.706388493007687,27.754448004410353,150000.0,299.2698963269712,1185,0.0
751,-25.705509980489648,27.75270844819267,150200.0,302.28193922022,1181,-0.02
752,-25.704550119755925,27.751022185621686,150400.0,307.5961494825278,1178,-0.015
753,-25.703453817744887,27.749442070585832,150600.0,312.4856262772514,1178,0.0
754,-25.70223935076877,27.747970450859214,150800.0,315.97700002482657,1177,-0.005
755,-25.700946285513538,27.746583548646782,151000.0,314.5583505450545,1173,-0.02
756,-25.699684296989254,27.745161267280363,151200.0,316.4309319289982,1170,-0.015
757,-25.69838259615164,27.743787099874005,151400.0,326.2941278728537,1170,0.0
758,-25.69688661310525,27.742679659233243,151600.0,318.9052677644819,1171,0.005
759,-25.695538993208203,27.74137529071788,151800.0,298.58572334749294,1169,-0.01
760,-25.694683390285782,27.739632788762133,152000.0,277.58342731697087,1168,-0.005
761,-25.69444743736963,27.73766612734669,152200.0,256.7102169327139,1169,0.005
762,-25.694858238611122,27.735736019958306,152400.0,248.22271567844535,1173,0.02
763,-25.695525506441687,27.733882487782918,152600.0,246.4539855199333,1176,0.015
764,-25.69624325325427,27.73205460828437,152800.0,241.43155283268493,1176,0.0
765,-25.697103364763983,27.73030158822649,153000.0,241.08571593763259,1181,0.025
766,-25.697972999061886,27.728554341334377,153200.0,240.69123701181482,1184,0.015
767,-25.69885345520781,27.72681376250614,153400.0,240.67353422117037,1184,0.0
768,-25.699734392259916,27.725073479996343,153600.0,240.79418949476138,1186,0.01
769,-25.70061202667962,27.723331126610155,153800.0,240.86146848034636,1188,0.01
770,-25.70148781733088,27.721587617110885,154000.0,240.86392013045753,1191,0.015
771,-25.702363538001194,27.719844058685368,154200.0,240.87715447496112,1191,0.0
772,-25.703238901874986,27.718100250810302,154400.0,240.87697532657424,1191,0.0
773,-25.704114265748778,27.71635644293524,154600.0,240.81833808310415,1194,0.015
774,-25.7049912345399,27.71461362270151,154800.0,240.66307130085005,1195,0.005
775,-25.705872461155685,27.71287342266731,155000.0,240.66966232736024,1198,0.015
776,-25.706753502521476,27.711133106873817,155200.0,240.91464609537067,1199,0.005
777,-25.707627837512852,27.709388600391023,155400.0,240.91446726771576,1201,0.01
778,-25.708502172504225,27.707644093908232,155600.0,241.00243287797275,1202,0.005
779,-25.709374093972407,27.705898085384145,155800.0,241.055128705436,1205,0.015
780,-25.710244567666727,27.70415117584691,156000.0,240.68174925913047,1209,0.02
781,-25.71112528630511,27.702410573878517,156200.0,240.66101755209132,1211,0.01
782,-25.712006569099103,27.700670319247344,156400.0,240.6608362846498,1213,0.01
783,-25.712887851893097,27.698930064616167,156600.0,240.7731762322166,1212,-0.005
784,-25.71376605538367,27.697187889232666,156800.0,240.9711976343591,1211,-0.005
785,-25.71463883475502,27.695442330489957,157000.0,240.8317524720262,1206,-0.025
786,-25.71551543765512,27.693699124689758,157200.0,240.92351354258636,1202,-0.02
787,-25.71638952423088,27.69195434981621,157400.0,240.6975301890044,1200,-0.01
788,-25.71726980724032,27.690213395973185,157600.0,240.73387433510624,1201,0.005
789,-25.718149091580973,27.688471816838053,157800.0,240.97030190086184,1203,0.01
790,-25.719021895776386,27.686726208447222,158000.0,240.76380751816163,1204,0.005
791,-25.719900359676906,27.68498409518325,158200.0,240.89772846479184,1206,0.01
792,-25.720775153476417,27.683239693047163,158400.0,241.04091682896978,1207,0.005
793,-25.721646018549027,27.681492853807395,158600.0,240.96917996829995,1208,0.005
794,-25.722518850870053,27.67974721840106,158800.0,240.8986643605281,1212,0.02
795,-25.72339362014861,27.678002759702782,159000.0,240.74751109388137,1209,-0.015
796,-25.724272529886616,27.67626086088394,159200.0,240.77297456498425,1213,0.02
797,-25.725150740668443,27.674518518663117,159400.0,240.87920150262178,1215,0.01
798,-25.726026041044356,27.672774356693925,159600.0,240.66591922632034,1217,0.01
799,-25.726907187824484,27.671033804046647,159800.0,240.97202287272563,1215,-0.01
800,-25.72777989952565,27.669288128518552,160000.0,240.7079945146005,1218,0.015
801,-25.728659884573386,27.667546852197265,160200.0,241.54997202071834,1220,0.01
802,-25.729516707950722,27.66579142883031,160400.0,242.1742897969082,1220,0.0
803,-25.730356260077595,27.664025710865914,160600.0,244.10902804447215,1220,0.0
804,-25.731141508333028,27.66222980458408,160800.0,245.62467334671817,1218,-0.01
805,-25.73188381886142,27.660411143789524,161000.0,247.9797147331014,1221,0.015
806,-25.73255809269943,27.658560389796715,161200.0,249.2598867906484,1223,0.01
807,-25.733195003005537,27.656693209996785,161400.0,250.19813910395467,1226,0.015
808,-25.733804300419035,27.654814646262178,161600.0,252.94014399320872,1229,0.015
809,-25.73433188820293,27.652906071520132,161800.0,253.99575978921592,1231,0.01
810,-25.734827763896945,27.65098682244297,162000.0,255.5873115366055,1232,0.005
811,-25.73527534427647,27.649053385725885,162200.0,257.1595609337326,1234,0.01
812,-25.735675039181093,27.647106696593053,162400.0,258.71504180572816,1232,-0.01
813,-25.736026957289067,27.645148831419778,162600.0,260.2753538349375,1233,0.005
814,-25.736330753412354,27.643180844836163,162800.0,261.8958166972727,1227,-0.03
815,-25.73658426006886,27.641204387743343,163000.0,263.5641777428824,1227,0.0
816,-25.73678585703771,27.639220249155183,163200.0,264.24529839783634,1228,0.005
817,-25.7369661675462,27.637233868261962,163400.0,268.49095567509676,1230,0.01
818,-25.73701350813234,27.63523836827106,163600.0,268.8353207314027,1232,0.01
819,-25.73705005391443,27.63324205492434,163800.0,268.83532037297624,1229,-0.015
820,-25.737086599696518,27.631245741577622,164000.0,269.33041210943986,1230,0.005
821,-25.73710760540154,27.629249158698578,164200.0,269.38120147491793,1228,-0.01
822,-25.7371270168928,27.62725254816895,164400.0,269.3812013735569,1226,-0.01
823,-25.73714642838406,27.625255937639327,164600.0,269.44457240071006,1224,-0.01
824,-25.737163850595625,27.62325930708221,164800.0,269.5918441492398,1221,-0.015
825,-25.737176649807807,27.62126262998208,165000.0,269.5918441049832,1221,0.0
826,-25.737189449019986,27.61926595288195,165200.0,269.6197125616758,1219,-0.01
827,-25.73720137340098,27.61726926863524,165400.0,269.6209661720252,1216,-0.015
828,-25.737213258428174,27.615272584067046,165600.0,269.52316283969077,1214,-0.01
829,-25.737228213607874,27.613275928451717,165800.0,269.39497112660473,1210,-0.02
830,-25.737247192863258,27.611279310785157,166000.0,269.394971029795,1209,-0.005
831,-25.737266172118645,27.6092826931186,166200.0,269.5582781468819,1207,-0.01
832,-25.737280025000285,27.607286024954636,166400.0,269.5995363775962,1204,-0.015
833,-25.737292582741933,27.60528934403288,166600.0,269.5995363353871,1205,0.005
834,-25.737305140483578,27.603292663111123,166800.0,269.5334597027161,1202,-0.015
835,-25.737319772454924,27.60129600002066,167000.0,269.4917487107658,1201,-0.005
836,-25.737335713786937,27.599299348186232,167200.0,269.46088484845586,1203,0.01
837,-25.737352623941597,27.597302708613796,167400.0,269.1944820110019,1202,-0.005
