,latitude,longitude,distances,altitude,gradient
78,-26.694440302201112,27.80619216621061,15600.0,1499,0.003
79,-26.692915220030148,27.805139865694144,15800.0,1495,0.0009999999999999998
80,-26.69141870969967,27.80402306694005,16000.0,1498,-0.005
81,-26.689957193857836,27.802863045265415,16200.0,1498,-0.005
82,-26.688440264093387,27.801799094294857,16400.0,1493,0.0019999999999999996
83,-26.68694745292252,27.80067648057905,16600.0,1494,-0.004
84,-26.685438112387175,27.799581628238524,16800.0,1497,-0.006
85,-26.683941984738613,27.79846426708327,17000.0,1494,-0.003
86,-26.6824473165785,27.79734530401238,17200.0,1492,-0.0010000000000000002
87,-26.68098643033971,27.796194715582455,17400.0,1490,-0.009
88,-26.6794686764264,27.79512551350555,17600.0,1493,-0.006
89,-26.67796733149155,27.794017457009552,17800.0,1488,-0.006000000000000001
90,-26.67645740849968,27.792924670053353,18000.0,1488,-0.004000000000000001
91,-26.674919409261797,27.791881027713362,18200.0,1486,-0.008
92,-26.673376194461227,27.79084734282907,18400.0,1486,-0.006
93,-26.67175182479665,27.789984508692886,18600.0,1485,-0.006999999999999999
94,-26.67009550883928,27.789200049995355,18800.0,1482,-0.003999999999999999
95,-26.668427770079447,27.78844623207591,19000.0,1481,-0.006
96,-26.66676147236105,27.787688448520033,19200.0,1482,-0.007000000000000001
97,-26.665096502832334,27.786927072642428,19400.0,1480,-0.007000000000000001
98,-26.663433247916196,27.786161924499783,19600.0,1478,-0.006
99,-26.66176873589503,27.78539927535554,19800.0,1475,-0.01
100,-26.66010406301501,27.784637071379205,20000.0,1475,-0.008
101,-26.65843531080401,27.783886182111896,20200.0,1472,-0.009
102,-26.656772386041332,27.783119302534566,20400.0,1472,-0.009
103,-26.655111080653704,27.782348036211868,20600.0,1469,-0.006999999999999999
104,-26.653441812488904,27.78159856887257,20800.0,1466,-0.003
105,-26.651773711284047,27.780845869612154,21000.0,1468,0.0020000000000000005
106,-26.650107396507323,27.780088263260122,21200.0,1469,0.006
107,-26.648444713845922,27.779320722219953,21400.0,1474,0.012
108,-26.646779759461317,27.77855938835959,21600.0,1475,0.006
109,-26.64511253636854,27.77780430247398,21800.0,1478,0.006
110,-26.64344944591446,27.77703790134307,22000.0,1474,0.002
111,-26.641784210793123,27.776277427019167,22200.0,1475,-0.0019999999999999996
112,-26.640118275520358,27.775519032098234,22400.0,1476,-0.003999999999999999
113,-26.638461460292717,27.774737617763922,22600.0,1473,-0.0019999999999999996
114,-26.636790611110538,27.7739970396268,22800.0,1474,-0.004
115,-26.635150504206095,27.77317144340323,23000.0,1472,-0.011
116,-26.633669608226963,27.772035207312857,23200.0,1471,-0.003
117,-26.632400060891932,27.770612876723835,23400.0,1465,-0.006999999999999999
118,-26.631170651434065,27.769144534390488,23600.0,1470,-0.004999999999999999
119,-26.629679902605897,27.76805213156778,23800.0,1467,-0.004999999999999999
120,-26.62792753988907,27.76766,24000.0,1467,-0.0019999999999999996
121,-26.62617162336424,27.76802537190608,24200.0,1466,-0.007000000000000001
122,-26.62466258980531,27.76909538750987,24400.0,1463,-0.0010000000000000002
123,-26.623629595833403,27.770724456617483,24600.0,1463,-0.0010000000000000002
124,-26.623068717044234,27.772632447579984,24800.0,1466,-0.0010000000000000002
125,-26.622293924348877,27.774440826034134,25000.0,1466,0.0019999999999999996
126,-26.62112370733409,27.77596108291038,25200.0,1465,0.0019999999999999996
127,-26.619667319014294,27.7771295389747,25400.0,1465,-1.7347234759768072e-19
128,-26.61807213488107,27.77805639500746,25600.0,1465,-0.0010000000000000002
129,-26.616411103208055,27.77882712639113,25800.0,1466,-0.0020000000000000005
130,-26.614737637949673,27.779564479764666,26000.0,1465,-0.003
131,-26.613058801018813,27.780286438693008,26200.0,1463,-0.003
132,-26.611379596108073,27.781007315953683,26400.0,1462,-0.006
133,-26.60970128909055,27.781730708152654,26600.0,1462,-0.006
134,-26.608026636083228,27.78246444672173,26800.0,1460,-0.0030000000000000005
135,-26.606347038115484,27.783184126521935,27000.0,1459,-3.4694469519536144e-19
136,-26.60466748480581,27.783903935083224,27200.0,1460,0.0019999999999999996
137,-26.602987931496138,27.784623743644513,27400.0,1462,0.006999999999999999
138,-26.601308378186467,27.785343552205802,27600.0,1464,0.006
139,-26.599629618301726,27.786065648297765,27800.0,1467,0.005
140,-26.59795347260766,27.786795274615756,28000.0,1465,0.003
141,-26.59627589607036,27.787520764582514,28200.0,1465,0.0009999999999999998
142,-26.594598319533056,27.78824625454927,28400.0,1465,-0.001
143,-26.59292074299575,27.788971744516026,28600.0,1465,0.001
144,-26.591243166458447,27.789697234482784,28800.0,1466,0.003
145,-26.589569055011467,27.790432176478824,29000.0,1466,0.0020000000000000005
146,-26.58791858985928,27.79123162053691,29200.0,1468,0.0010000000000000002
147,-26.58627710974116,27.792052414455032,29400.0,1467,0.0010000000000000002
148,-26.58467331762422,27.79296290742979,29600.0,1466,0.0010000000000000002
149,-26.583087848563473,27.79391159145608,29800.0,1467,0.0010000000000000002
150,-26.581520752741046,27.794898738430838,30000.0,1467,0.0030000000000000005
151,-26.579967500955398,27.79591260143638,30200.0,1469,0.008000000000000002
152,-26.578410383063023,27.796919263127716,30400.0,1470,0.011
153,-26.576812377624524,27.797841068530268,30600.0,1474,0.015
154,-26.57519158335268,27.798712121671656,30800.0,1478,0.018000000000000002
155,-26.5735441921805,27.799519240293566,31000.0,1482,0.021
156,-26.57186914609357,27.80025167561149,31200.0,1487,0.018
157,-26.570176514557108,27.80092910194389,31400.0,1491,0.015000000000000003
158,-26.568473095851395,27.80157315793446,31600.0,1492,0.015000000000000003
159,-26.56674175597151,27.802117714941563,31800.0,1493,0.015
160,-26.564997793757758,27.802609017830985,32000.0,1497,-0.003999999999999999
161,-26.56323967357053,27.803033173799456,32200.0,1502,-0.003999999999999999
162,-26.561468578592354,27.80338199874634,32400.0,1487,-0.006999999999999999
163,-26.55968946023942,27.80367734603352,32600.0,1488,-0.013000000000000001
164,-26.557909750521844,27.803968319335098,32800.0,1486,-0.019999999999999997
165,-26.556130040804273,27.804259292636672,33000.0,1484,-0.004000000000000002
166,-26.5543503310867,27.80455026593825,33200.0,1482,-0.006000000000000003
167,-26.552570621369124,27.804841239239824,33400.0,1483,-0.003000000000000002
168,-26.55079091165155,27.805132212541398,33600.0,1482,-0.0030000000000000022
169,-26.54901120193398,27.805423185842976,33800.0,1483,-0.0020000000000000026
170,-26.547231492216405,27.80571415914455,34000.0,1481,-2.7755575615628915e-18
171,-26.54545178249883,27.806005132446128,34200.0,1480,0.0049999999999999975
172,-26.543672072781256,27.806296105747702,34400.0,1483,0.005999999999999997
173,-26.54189236306368,27.80658707904928,34600.0,1487,0.010999999999999998
174,-26.54011265334611,27.806878052350854,34800.0,1489,0.012999999999999998
175,-26.538332943628536,27.807169025652428,35000.0,1492,0.014999999999999996
176,-26.536552972870034,27.80745796255003,35200.0,1493,0.014999999999999996
177,-26.534772932907742,27.807746359582545,35400.0,1498,0.009999999999999998
178,-26.532992892945447,27.80803475661506,35600.0,1502,0.011
